avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,1,StetsonMan
4.6,3,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,LisaB920
4.6,2,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,0,rick
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,0,TOMS
4.6,1,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,3,95%,6251855,112,95,honeywants2
4.6,1,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,JohnInNy
4.6,4,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,3,ValB
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,2,JeepJL18
4.6,1,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,AnnieMae
4.6,6,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,1,SamC
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,0,OldSchool
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,brsmith311
4.6,2,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,2,Gman
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,Gfuller1
4.6,0,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,4,95%,6251855,112,0,Mickster
4.6,3,MOTXT192512,Motorola - Moto G6 with 32GB Memory Cell Phone - Black (Verizon),28,5,95%,6251855,112,0,Frank
